,price,volume_24h,percent_change_1h,market_cap,id
Bitcoin,42068.34907103316,15111244861.35923,0.92340031,797223863441.7958,1
Ethereum,3021.1922771174536,8946901933.099377,0.78670979,360953332826.676,1027
Tether,1.0006439106800302,38994543079.14731,0.02109935,77958917315.70634,825
BNB,416.2995726582297,1394256264.4316268,0.99471453,68738036997.2181,1839
USD Coin,1.0001834363308144,2074812616.6207695,0.02649089,51045387383.29782,3408
Cardano,1.1354748897521598,866756110.7395153,0.59369254,38128682929.61671,2010
Solana,114.19903785941183,1428155567.0116887,1.23951329,36183437854.07969,5426
XRP,0.6787718049116662,1045033575.1801026,0.6936739,32467326346.544167,52
Terra,55.06123920856773,1250403608.6856356,1.46325035,22074987549.167294,4172
Polkadot,21.46984947359209,801425417.8401808,1.3035088,21203179235.36181,6636
Dogecoin,0.1529657968178553,729588306.6295615,0.85622935,20294089175.56717,74
Avalanche,76.82916719306724,477970692.48278254,0.96647284,18833666989.477985,5805
Binance USD,0.9987195710850065,3118506382.4827228,-0.1509321,16501171831.019247,4687
Shiba Inu,2.7683379703212397e-05,2021884597.4794831,0.44369282,15199927230.223465,5994
Polygon,1.7073257599066736,666176112.1012549,0.52486702,12738477504.75966,3890
Crypto.com Coin,0.45632994561923035,106606893.06926872,0.78349154,11528269664.248232,3635
TerraUSD,1.0014534802582649,159237774.44191158,-0.00441717,11290640874.50548,7129
Wrapped Bitcoin,41809.81132291277,157777906.2931653,0.47739385,10952687383.519848,3717
Dai,1.0001650905619073,212572700.52428687,0.05244951,9765170602.093086,4943
Cosmos,30.810651604561244,660112024.6602799,1.05951997,8823255450.76173,3794
Litecoin,125.75713825075196,751530370.5445104,0.80100043,8750397918.237362,2
NEAR Protocol,13.21551513886577,748136796.3903731,1.2111998,8360564050.700621,6535
Chainlink,17.775368659447594,500474022.60649824,1.04741809,8301266910.210567,1975
Uniswap,11.416411786877262,161411385.60300294,1.06346868,7206123687.603289,7083
TRON,0.0657939281662595,655927108.9210997,0.33829435,6697692137.275783,1958
Algorand,1.0168114801499313,214880880.09501082,0.70559699,6672993696.814205,4030
FTX Token,46.19412167320637,86986108.93934178,0.79577165,6381612624.3771925,4195
Bitcoin Cash,322.28488389518725,4537982406.402554,1.09104497,6115671913.9535,1831
Decentraland,3.260375185297395,1338032946.0091982,0.74836015,5973478132.305752,1966
Stellar,0.22188665578350136,240832346.37436596,0.76971996,5518248415.382441,512
Fantom,2.1089452723142372,546079650.9972616,1.29904014,5367278947.453427,3513
UNUS SED LEO,5.118426960610382,6611149.98871565,-0.63069959,4882744538.177621,3957
Internet Computer,23.248961453200184,279474118.3065267,0.94432801,4654902783.4800005,8916
Hedera,0.25505127937362326,59170809.01527503,1.34139103,4614589854.452546,4642
Bitcoin BEP2,41778.084530287495,25701881.99099212,0.54026506,4392925884.524928,4023
The Sandbox,4.572564173548009,1297078360.1872594,1.67314564,4229870540.455643,6210
Axie Infinity,66.74722240671788,1367645742.6108701,0.70743518,4065406448.7371693,6783
Ethereum Classic,29.738193500872985,370414289.7049008,0.92456734,3948599253.8716354,1321
VeChain,0.06015916882972195,207494199.96439964,1.28554811,3869171654.462231,3077
Filecoin,22.284778483763414,256820448.9663071,1.03521641,3514401781.3028564,2280
Theta Network,3.455489050826728,399582612.46725047,2.05744635,3455489050.8267283,2416
Tezos,3.8755527714031928,129811192.41099869,1.20362077,3398649298.1755958,2011
Elrond,163.89247731633864,99331213.673723,1.274649,3392112063.1049833,6892
Helium,29.906188843866236,22983343.1257549,1.24140503,3292560376.660993,5665
Monero,172.18901690022219,108117810.1877514,0.90062763,3112286899.526855,328
Klaytn,1.1707427419267364,29531932.66764969,0.54341989,3079694011.2563877,4256
IOTA,0.946909743084721,20491152.94293684,0.70183024,2631964306.171732,1720
Harmony,0.21064889575482035,185029104.12330097,0.90617272,2463479170.4167023,3945
EOS,2.5059580378826656,206014979.42353934,0.78482936,2455403252.320469,1765
Flow,7.4412019396147375,320804272.70269895,3.98457101,2366915356.954907,4558
Aave,170.07693878248315,148548869.5909692,1.5183797,2297469374.4848323,7278
The Graph,0.4648364649332763,63298868.8095923,1.50906494,2192045679.9294167,6719
Maker,2221.8464339867405,70408503.03870201,0.84423052,2172146033.2040944,1518
Stacks,1.6640609022450208,54667470.98860577,0.85195016,2158664847.199855,4847
Gala,0.30791638305614955,2251914636.363716,0.78159848,2148395861.692825,7080
PancakeSwap,8.001538397671895,131629748.58154793,0.89368565,2126641558.8574047,7186
BitTorrent (New),2.26163475150866e-06,38078590.77821038,0.18871713,2108968751.6949465,16086
Bitcoin SV,97.81445610638468,78744583.62053807,0.88459565,1855770868.4806664,3602
Enjin Coin,2.026653447911077,336392223.76748055,1.78569566,1732173011.9300063,2130
Zcash,124.0968973775456,295365855.6391256,0.29647262,1698784920.7638714,1437
Kusama,194.37208762612417,51970904.07877263,0.28528502,1646350641.788005,5034
Quant,134.54187664025366,23918669.06198692,2.42306548,1624288826.7061026,3155
eCash,8.49699315329433e-05,25059953.9081891,0.92122345,1612058435.1272392,10791
KuCoin Token,19.936511948611077,7164154.92603357,1.46099354,1597286183.7934456,2087
THORChain,4.818823032985093,57784005.55976501,1.03773132,1593527246.6916635,4157
Neo,22.314489695193522,80330622.55608077,1.01559287,1574038017.4604974,1376
Huobi Token,10.005116329404558,30237981.98430628,0.31825897,1568219234.8624265,2502
TrueUSD,1.0003740549987787,58936766.41892954,0.06411041,1521908183.520384,2563
Curve DAO Token,3.3398755320037687,242769504.4793689,1.18108883,1475892757.786906,6538
Loopring,1.06802326464831,497155571.4233593,-0.21013663,1419667182.712873,1934
Basic Attention Token,0.9256905193429869,88210636.42755431,1.30450144,1383759628.2810597,1697
Celo,3.316975150224683,65060410.9478203,0.87997895,1351621436.927703,5567
Chiliz,0.22305997656103216,178462822.98929453,1.93876273,1328337722.498849,4066
Amp,0.03144770186401149,13704572.53247521,0.37550771,1327964188.747594,6945
OKB,21.98831468189465,45516925.27855549,0.30803599,1319298880.913679,3897
Convex Finance,26.135056854940384,17286845.8199754,0.77567351,1281249429.706919,9903
Oasis Network,0.3589809123773361,144120366.53666973,0.12630759,1253925462.615482,7653
Arweave,37.28212605035681,28172850.82221865,1.29939848,1245025452.0959766,5632
Nexo,2.1758062440776915,6143349.48553075,1.03992241,1218451520.6173759,2694
Theta Fuel,0.2194849457851112,209758076.47668073,0.49089665,1163536755.179251,3822
BORA,1.343512602449124,255289056.8518747,0.62465717,1157100228.859308,3801
Dash,107.1278467745748,148862464.94853768,1.35114558,1132039697.3884168,131
Waves,10.498602041016678,196255526.3862416,1.64846563,1127804765.262747,1274
Mina,2.9824645789173876,39545631.90454728,1.22072066,1105244568.4493365,8646
Kadena,6.382382524566799,23882220.82093423,1.59798191,1071066326.2983102,5647
Symbol,0.18814024605833538,5109557.02523054,-0.00699884,1050285398.8684338,8677
NEM,0.11142403172753278,20120390.7323303,0.79283263,1002816285.436371,873
Pax Dollar,0.9961459689130839,9035433.69497081,0.01842682,941998402.8216934,3330
Decred,66.68543776980547,4380561.83830128,0.63643938,916492703.5886694,1168
Compound,138.75875778023067,66148331.7621072,1.63469914,908903920.1543407,5692
yearn.finance,24222.056257184096,118670959.41759786,0.72844382,887440944.6682932,5864
Holo,0.0050570095836586166,63903364.92094519,0.30883738,875743733.4029884,2682
1inch Network,1.8445758167866977,75512286.21604791,1.1969969,863588509.1917773,8104
Secret,5.756564136326608,15754767.36997009,0.44612051,862423852.6190262,5604
IoTeX,0.0826271241118709,37421390.70500398,0.46768514,788327157.353559,2777
Ravencoin,0.07448376788677163,33746492.465713,0.81697651,780090101.3708465,2577
Render Token,3.5766379719648476,54152912.46560071,1.16665191,763771966.4467096,5690
XDC Network,0.060497769057473214,9091420.18807198,-0.10752815,744425816.4982527,2634
WAX,0.37911724289624243,55925155.14127252,0.21929832,730627427.4502184,2300
OMG Network,5.115245476038773,168559507.72909236,1.33476428,717389638.9086715,1808
